Layers: 1
Nodes: [3]
PCA dim: 10
Activation function: relu
Training accuracy,Test accuracy
"Classes: [0, 1, 2, 3, 4]"
0.5378999710083008,0.70660001039505
0.7695666551589966,0.7906000018119812
0.8030333518981934,0.7993999719619751
0.8112000226974487,0.8058000206947327
0.8162999749183655,0.8098000288009644
0.8199333548545837,0.8077999949455261
0.8220666646957397,0.8133999705314636
0.8237000107765198,0.8095999956130981
0.8236333131790161,0.8140000104904175
0.8243666887283325,0.8141999840736389
0.8244666457176208,0.8127999901771545
0.8259999752044678,0.8137999773025513
0.8259000182151794,0.8149999976158142
0.8264999985694885,0.8136000037193298
0.8258000016212463,0.8155999779701233
0.826033353805542,0.8149999976158142
0.8266333341598511,0.8131999969482422
0.8263333439826965,0.8154000043869019
0.8260666728019714,0.8144000172615051
0.826366662979126,0.8159999847412109
0.8258333206176758,0.8133999705314636
0.8266333341598511,0.8158000111579895
0.8256666660308838,0.8162000179290771
0.826200008392334,0.8145999908447266
0.8260999917984009,0.8131999969482422
0.8260999917984009,0.8151999711990356
0.8260999917984009,0.8159999847412109
0.8257333040237427,0.8155999779701233
0.8248666524887085,0.817799985408783
0.8259666562080383,0.8181999921798706
0.8253999948501587,0.8166000247001648
0.8266666531562805,0.8162000179290771
0.8256333470344543,0.8167999982833862
0.826033353805542,0.8173999786376953
0.8259333372116089,0.8155999779701233
0.8270666599273682,0.8172000050544739
0.8264999985694885,0.8187999725341797
0.8260999917984009,0.8199999928474426
0.8260999917984009,0.819599986076355
0.8268666863441467,0.8172000050544739
0.8270666599273682,0.8209999799728394
0.8276333212852478,0.8167999982833862
0.828000009059906,0.8191999793052673
0.8274666666984558,0.823199987411499
0.8282999992370605,0.821399986743927
0.8273000121116638,0.8209999799728394
0.8281999826431274,0.8222000002861023
0.8281333446502686,0.8217999935150146
0.828499972820282,0.8212000131607056
0.8280666470527649,0.8199999928474426
