Layers: 1
Nodes: [6]
PCA dim: 20
Activation function: relu
Training accuracy,Test accuracy
0.6194333434104919,0.7516000270843506
0.769016683101654,0.7634000182151794
0.7798666954040527,0.7706999778747559
0.7852833271026611,0.7736999988555908
0.7892333269119263,0.7764000296592712
0.7922999858856201,0.7770000100135803
0.7949333190917969,0.7784000039100647
0.7960000038146973,0.7846999764442444
0.7972000241279602,0.7838000059127808
0.7986833453178406,0.7861999869346619
0.7990999817848206,0.7883999943733215
0.8004166483879089,0.7885000109672546
0.8015000224113464,0.7903000116348267
0.8033833503723145,0.7918999791145325
0.8033833503723145,0.7921000123023987
0.8043666481971741,0.7935000061988831
0.8050833344459534,0.7925000190734863
0.8053500056266785,0.7937999963760376
0.8056166768074036,0.795799970626831
0.8072500228881836,0.7964000105857849
0.8076833486557007,0.7965999841690063
0.8070499897003174,0.7955999970436096
0.8069499731063843,0.7964000105857849
0.8080499768257141,0.7953000068664551
0.8078666925430298,0.7993999719619751
0.8086166381835938,0.7990000247955322
0.8077999949455261,0.7980999946594238
0.8079166412353516,0.798799991607666
0.8087166547775269,0.7975999712944031
0.8080999851226807,0.7965999841690063
0.8095999956130981,0.7983999848365784
0.8085833191871643,0.7972000241279602
0.8093666434288025,0.798799991607666
0.8086833357810974,0.7989000082015991
0.8105499744415283,0.7972000241279602
0.809583306312561,0.7957000136375427
0.808483362197876,0.7993999719619751
0.8099333047866821,0.7979000210762024
0.8108166456222534,0.8001000285148621
0.8097833395004272,0.8004000186920166
0.8103500008583069,0.8001999855041504
0.8107500076293945,0.7990000247955322
0.8100166916847229,0.8008000254631042
0.811033308506012,0.7993999719619751
0.8117499947547913,0.8004999756813049
0.8105833530426025,0.7991999983787537
0.8114500045776367,0.7997000217437744
0.8109999895095825,0.7996000051498413
0.8113499879837036,0.8011999726295471
0.8115333318710327,0.7990999817848206
